gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MT-CO1	823470.5637109914	0.477378793996951	0.18377101458325604	2.597682747083481	0.009385516355848538	0.04948989800144704
EEF1A1	336072.1034928591	-0.15928093456042258	0.1080467967600405	-1.4741846990074792	0.14043186844312816	0.2840181767617733
MT-ND4	376686.271239328	0.39031297913772256	0.17232893898560012	2.264929973080942	0.023516977109046516	0.08895003186381302
MT-CO3	277787.0694688758	0.5570956372374334	0.18766627652436293	2.968544202799862	0.0029921406327956374	0.02344953146448152
GFAP	1273859.428396135	-0.1445047438203733	0.19664195584127045	-0.7348622179949107	0.46242341039354434	0.6221932965688419
MT-CYB	214732.07399905167	0.4130563830963825	0.17321674699422482	2.3846215234035895	0.0170967002957304	0.07211447201175468
MT-ND2	200070.24775311904	0.5632000564981062	0.19615571776733487	2.871188578688956	0.0040893149208102875	0.029253014442475026
MT-ND1	186714.4563314202	0.802244231433277	0.19732351810294405	4.065629070199046	4.79030739516716e-5	0.0011427077899826045
MT-CO2	185284.87671121914	0.4508037018026075	0.1978229531665747	2.278824042339582	0.022677527116720747	0.08687248471616474
MT-ND5	256748.91109668705	0.38989739264461165	0.1653610324110445	2.3578553360469363	0.018380854395156822	0.07582053194960849
MT-ATP6	162609.69111045456	0.5439368640593546	0.16313239373013447	3.3343277299000142	8.550584708860479e-4	0.010029701812424519
ACTB	202591.91327056	0.006977450380766155	0.08307143490066317	0.08399337737586682	0.9330616972514173	0.9628932975341022
FN1	32362.880126804976	0.4838943829361947	0.1998895714824083	2.4208085461766116	0.015486030938427342	0.06785408726222737
CLU	384377.2433258854	-0.6390343616276436	0.17307744666517877	-3.6921873643298326	2.2233356750960063e-4	0.0037980662923359026
ACTG1	105589.64384262502	0.013138686095458381	0.07676380506202429	0.171157306296144	0.8641000766967668	0.919623037543884
GAPDH	117408.6182694563	-0.1318952542144725	0.09610298641398755	-1.3724365822129694	0.16992756845275886	0.32197510003509294
VIM	151021.66465874537	0.11122786979116286	0.21136886084841666	0.5262263766985527	0.598730929511539	0.7362705772130498
COL1A1	8864.43599771123	0.9910073965901645	0.30367975158437144	3.263330503333979	0.0011011102719505532	0.011775677184086269
SPARC	292041.1844706087	-0.7297522815137537	0.16502859441870357	-4.421974774033748	9.78028774678802e-6	3.0739880778946603e-4
TPT1	53297.92774596469	-0.14569840475828885	0.10154545041163765	-1.434809774024017	0.15134131193207787	0.2983229975945074
IGF2	13307.614434813522	-0.011612874089318258	0.3258652747396551	-0.03563704079422449	0.9715717727867331	0.9846320762801464
RPL13A	42316.84530495597	0.014228370598657438	0.0985113392452102	0.14443383581701988	0.8851578997994144	0.9341469859961211
RPL3	56989.015645935695	-0.038442365743344975	0.09851952184775843	-0.39020049044441885	0.6963882989895487	0.8090075553356465
RPLP0	32209.19416445445	-0.0029134051135138845	0.11785247604802924	-0.024720779836026222	0.9802776802322872	0.9894491925810552
FTH1	99110.46788782498	8.061453687592943e-4	0.09022147192259704	0.008935183073170254	0.9928708502403415	0.9958467556750852
FTL	96737.35198900966	-0.10583074574222519	0.15753181733542862	-0.671805528129485	0.5017075089670102	0.6578511807764416
COL1A2	9280.32127844422	0.5322586125902985	0.25174148554031084	2.1143063148607224	0.03448911336482456	0.11405148448538782
RPS3A	30929.90062815301	-0.24804213882940376	0.13645839210326807	-1.8177126009347384	0.0691080707819374	0.17910967490535792
CD74	111523.55701773881	-0.03922680344352453	0.17659570379420847	-0.2221277335785956	0.8242144488305769	0.8945049868357948
RPL10	31063.44903207756	-0.09279668365042203	0.1035371838681456	-0.8962643195762251	0.37011161069617576	0.538528133424873
RPL4	37492.34042630815	-0.020469330374054875	0.08869866244772652	-0.23077383366539744	0.8174905102856131	0.889780633177667
GNAS	59940.33542442408	0.03927245390566514	0.07021905634993354	0.5592848429912333	0.5759673379211203	0.7183998376653744
TUBA1A	70221.16039615724	-0.05172312630942905	0.12728847777166732	-0.40634570555719157	0.6844886071176723	0.8003858090258887
LRP1	243657.21920813704	-0.046211427311548876	0.1960498788399818	-0.23571260326698384	0.8136556894384082	0.8873886048292293
PSAP	131898.5349522945	-0.1502467553457028	0.08821489401016677	-1.7031903402659743	0.08853245381276299	0.2094381932848354
HNRNPA1	39298.11813369427	-0.22551985815050948	0.120708772058402	-1.868297177618518	0.061720659823586425	0.1675215098339636
EEF1G	40938.222564954885	0.003830839753050445	0.08581132561529166	0.04464258914056195	0.9643921952561019	0.98004220747404025
MAP1B	171303.70252149287	-0.014708617781652089	0.16192048098031978	-0.09083852575413119	0.9276208974573235	0.9597189986605911
RPS4X	26068.051020632163	-0.09801085603093812	0.12657409817877427	-0.7743358036215814	0.43873223604539613	0.6015363552374191
HBA2	19233.508129242855	0.8610689855557287	0.35503331740964106	2.425318817507537	0.015294948191185433	0.06716428477794116
B2M	80501.99853613997	-0.5125122239092839	0.1936272823162389	-2.646900879764613	0.008123315939720563	0.045181936079030996
TMSB4X	55949.28184271811	-0.19920029982248072	0.15915128335623724	-1.2516411782655847	0.2107006427126868	0.37017901943726883
