ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
REACTOME_ECM_PROTEOGLYCANS	REACTOME_ECM_PROTEOGLYCANS	7	0.9751552795031055	2.593107055136055	2.07488362058603e-9	8.112794956491377e-7	7.316694872592843e-7	11	tags=100%, list=7%, signal=98%	COL1A1/COL4A1/HSPG2/COL6A3/BGN/ACAN/COL2A1
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	11	0.8416706466585172	2.5687130108787457	3.247697238136924e-7	6.349248100557688e-5	5.7262030251361564e-5	21	tags=82%, list=12%, signal=77%	COL1A1/COL4A1/HSPG2/COL6A3/ACAN/COL2A1/NID1/COL11A1/COL14A1
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	15	0.7539218252718539	2.6323073921714566	1.8850257783336e-6	2.456816931094792e-4	2.2157320552342315e-4	21	tags=67%, list=12%, signal=64%	COL1A1/COL4A1/HSPG2/COL6A3/BGN/ACAN/COL2A1/NID1/COL11A1/COL14A1
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	REACTOME_COLLAGEN_CHAIN_TRIMERIZATION	6	0.9074074074074074	2.226765698652119	4.350093416083102e-6	3.4017730513769863e-4	3.067960619763872e-4	21	tags=100%, list=12%, signal=91%	COL1A1/COL4A1/COL6A3/COL2A1/COL11A1/COL14A1
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION	6	0.9074074074074074	2.226765698652119	4.350093416083102e-6	3.4017730513769863e-4	3.067960619763872e-4	21	tags=100%, list=12%, signal=91%	COL1A1/COL4A1/COL6A3/COL2A1/COL11A1/COL14A1
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	6	0.9009794232909687	2.210991511197707	6.8039432915693084e-6	4.4339030450059997e-4	3.998808776624067e-4	11	tags=83%, list=7%, signal=81%	COL1A1/COL4A1/HSPG2/COL6A3/COL2A1
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	6	0.8771542053437444	2.1525247435091224	1.9074549672083424e-5	0.0010654498459692313	9.60898366939541e-4	15	tags=83%, list=9%, signal=79%	COL1A1/COL4A1/HSPG2/COL2A1/COL11A1
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	7	0.8513712916512118	2.2639439577725455	3.1684328135174364e-5	0.001548571537606647	0.0013966118322741332	21	tags=86%, list=12%, signal=78%	COL1A1/COL4A1/COL6A3/COL2A1/COL11A1/COL14A1
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	3	0.9636363636363636	1.8362041133319422	1.2132929201515562e-4	0.005271083686436205	0.004753837757318964	9	tags=100%, list=5%, signal=96%	HSPG2/BGN/ACAN
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	8	0.7756112481509749	2.1219520159161114	1.6399629019545224e-4	0.006412254946642183	0.005783027075313317	21	tags=75%, list=12%, signal=69%	COL1A1/COL4A1/COL6A3/COL2A1/COL11A1/COL14A1
REACTOME_NCAM1_INTERACTIONS	REACTOME_NCAM1_INTERACTIONS	3	0.9515151515151515	1.813107206246006	2.8731519346529636e-4	0.00864155697268699	0.007793570025172008	11	tags=100%, list=7%, signal=95%	COL4A1/COL6A3/COL2A1
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	3	0.9515151515151515	1.813107206246006	2.8731519346529636e-4	0.00864155697268699	0.007793570025172008	11	tags=100%, list=7%, signal=95%	COL4A1/COL6A3/COL2A1
