"Module"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"M1"	"REACTOME_NEURONAL_SYSTEM"	"REACTOME_NEURONAL_SYSTEM"	"73/423"	"411/10646"	1.71911788878392e-28	1.07444868048995e-25	9.50038833275325e-26	"CAMK2A/SYT1/SLC17A7/SHANK1/NRGN/SYN2/RIMS1/GRIN1/GRIN2A/NEFL/CAMK4/ADCY8/SYT7/GABRB2/GABRA2/RASGRF1/SHANK2/LRRC7/DLGAP3/STX1A/CPLX1/GABRA1/SYT12/SYT2/GRIN2C/GABRG2/CACNA1B/PRKCG/CHRNB2/KCNC2/KCNJ6/GAD2/GRM1/GABRA5/KCNJ3/PANX2/KCNK9/KCNN2/HCN1/GABRA4/DLGAP2/CACNG3/CACNG2/GABRA6/KCNJ12/SLC1A6/GABRG3/NRG1/KCNG1/GRIP2/KCNJ4/KCNK3/GRIN3A/SLC32A1/TUBA8/KCNV1/KCNA4/SLC6A13/GLS2/KCNA3/GLRA3/GLRA2/GRIP1/KCNS2/CHRNA7/KCNH7/HCN4/KCNN4/CHRNA3/CHRNA9/KCNB2/GJD2/CHRNA2"	73
"M1"	"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"	"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"	"49/423"	"270/10646"	1.19967810585714e-19	3.74899408080357e-17	3.3149000293421e-17	"CAMK2A/SYT1/SLC17A7/NRGN/SYN2/RIMS1/GRIN1/GRIN2A/NEFL/CAMK4/ADCY8/GABRB2/GABRA2/RASGRF1/LRRC7/STX1A/CPLX1/GABRA1/GRIN2C/GABRG2/CACNA1B/PRKCG/CHRNB2/KCNJ6/GAD2/GABRA5/KCNJ3/GABRA4/CACNG3/CACNG2/GABRA6/KCNJ12/SLC1A6/GABRG3/NRG1/GRIP2/KCNJ4/GRIN3A/SLC32A1/TUBA8/SLC6A13/GLS2/GLRA3/GLRA2/GRIP1/CHRNA7/CHRNA3/CHRNA9/CHRNA2"	49
"M1"	"REACTOME_GPCR_LIGAND_BINDING"	"REACTOME_GPCR_LIGAND_BINDING"	"59/423"	"463/10646"	7.75118844630836e-16	1.61483092631424e-13	1.42785050326733e-13	"GPR37/FZD7/GRM3/GRM4/ADRA1A/SSTR2/EDN3/PDYN/PENK/SHH/GRM1/NTSR2/CCK/ADRB1/NPY/SST/HRH3/HTR2A/OPRM1/WNT7A/PLPPR3/ADRA2A/OPRD1/CXCL2/TACR1/NPFFR1/DRD1/CCKBR/GRM2/ADORA2B/ADRA2C/RGR/TAC1/PTHLH/PNOC/NPY1R/TAC3/CRHBP/WNT10B/HTR1A/NTSR1/CHRM4/ADRA1D/RXFP1/PTGDR2/HTR5A/PTH2R/HTR4/OPRK1/SSTR3/GPR68/CHRM2/GPR143/DRD2/VIP/HTR2C/PTGER3/WNT9A/CHRM5"	59
"M1"	"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION"	"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION"	"37/423"	"205/10646"	5.48006582775374e-15	8.56260285586522e-13	7.57114357781767e-13	"CAMK2A/NRGN/GRIN1/GRIN2A/NEFL/CAMK4/ADCY8/GABRB2/GABRA2/RASGRF1/LRRC7/GABRA1/GRIN2C/GABRG2/PRKCG/CHRNB2/KCNJ6/GABRA5/KCNJ3/GABRA4/CACNG3/CACNG2/GABRA6/KCNJ12/GABRG3/NRG1/GRIP2/KCNJ4/GRIN3A/TUBA8/GLRA3/GLRA2/GRIP1/CHRNA7/CHRNA3/CHRNA9/CHRNA2"	37
"M1"	"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS"	"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS"	"46/423"	"331/10646"	6.53060591821835e-14	8.16325739777294e-12	7.21803812013607e-12	"GPR37/ADRA1A/SSTR2/EDN3/PDYN/PENK/NTSR2/CCK/ADRB1/NPY/SST/HRH3/HTR2A/OPRM1/PLPPR3/ADRA2A/OPRD1/CXCL2/TACR1/NPFFR1/DRD1/CCKBR/ADORA2B/ADRA2C/RGR/TAC1/PNOC/NPY1R/TAC3/HTR1A/NTSR1/CHRM4/ADRA1D/RXFP1/PTGDR2/HTR5A/HTR4/OPRK1/SSTR3/GPR68/CHRM2/GPR143/DRD2/HTR2C/PTGER3/CHRM5"	46
"M1"	"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS"	"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS"	"17/423"	"42/10646"	1.13992033670151e-13	1.1874170173974e-11	1.04992662590928e-11	"ADRA1A/ADRB1/HRH3/HTR2A/ADRA2A/DRD1/ADRA2C/HTR1A/CHRM4/ADRA1D/HTR5A/HTR4/CHRM2/GPR143/DRD2/HTR2C/CHRM5"	17
"M1"	"REACTOME_POTASSIUM_CHANNELS"	"REACTOME_POTASSIUM_CHANNELS"	"18/423"	"103/10646"	1.03648059841931e-07	9.25429105731526e-06	8.18274156646823e-06	"KCNC2/KCNJ6/KCNJ3/KCNK9/KCNN2/HCN1/KCNJ12/KCNG1/KCNJ4/KCNK3/KCNV1/KCNA4/KCNA3/KCNS2/KCNH7/HCN4/KCNN4/KCNB2"	18
"M1"	"REACTOME_NEUREXINS_AND_NEUROLIGINS"	"REACTOME_NEUREXINS_AND_NEUROLIGINS"	"13/423"	"56/10646"	2.03479091162174e-07	1.58968039970448e-05	1.4056121428966e-05	"SYT1/SHANK1/GRIN1/GRIN2A/SYT7/SHANK2/DLGAP3/STX1A/SYT12/SYT2/GRIN2C/GRM1/DLGAP2"	13
"M1"	"REACTOME_GABA_RECEPTOR_ACTIVATION"	"REACTOME_GABA_RECEPTOR_ACTIVATION"	"13/423"	"60/10646"	4.81194581119943e-07	3.34162903555516e-05	2.95470356828035e-05	"ADCY8/GABRB2/GABRA2/GABRA1/GABRG2/KCNJ6/GABRA5/KCNJ3/GABRA4/GABRA6/KCNJ12/GABRG3/KCNJ4"	13
"M1"	"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2"	"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2"	"13/423"	"63/10646"	8.74505578661145e-07	5.14007856863722e-05	4.54491157647922e-05	"CAMK2A/MOBP/GRIN2A/CAMK4/RBFOX1/FOXG1/MET/GAD2/BDNF/PVALB/SST/OPRM1/OPRK1"	13
